,Label,ClassId,Path
0,Pedestrians,27,Meta/27.png
1,Speed_limit(20km/h),0,Meta/0.png
2,Speed_limit(30km/h),1,Meta/1.png
3,No_passing_veh_over_3.5_tons,10,Meta/10.png
4,Right-of-way_at_intersection,11,Meta/11.png
5,Priority_road,12,Meta/12.png
6,Yield,13,Meta/13.png
7,Stop,14,Meta/14.png
8,No_vehicles,15,Meta/15.png
9,Veh_>_3.5_tons_prohibited,16,Meta/16.png
10,No_entry,17,Meta/17.png
11,General_caution,18,Meta/18.png
12,Dangerous_curve_left,19,Meta/19.png
13,Speed_limit(50km/h),2,Meta/2.png
14,Dangerous_curve_right,20,Meta/20.png
15,Double_curve,21,Meta/21.png
16,Bumpy_road,22,Meta/22.png
17,Slippery_road,23,Meta/23.png
18,Road_narrows_on_the_right,24,Meta/24.png
19,Road_work,25,Meta/25.png
20,Traffic_signals,26,Meta/26.png
21,Children_crossing,28,Meta/28.png
22,Bicycles_crossing,29,Meta/29.png
23,Speed_limit(60km/h),3,Meta/3.png
24,Beware_of_ice/snow,30,Meta/30.png
25,Wild_animals_crossing,31,Meta/31.png
26,End_speed_+_passing_limits,32,Meta/32.png
27,Turn_right_ahead,33,Meta/33.png
28,Turn_left_ahead,34,Meta/34.png
29,Ahead_only,35,Meta/35.png
30,Go_straight_or_right,36,Meta/36.png
31,Go_straight_or_left,37,Meta/37.png
32,Keep_right,38,Meta/38.png
33,Keep_left,39,Meta/39.png
34,Speed_limit(70km/h),4,Meta/4.png
35,Roundabout_mandatory,40,Meta/40.png
36,End_of_no_passing,41,Meta/41.png
37,End_no_passing_veh_>_3.5_tons,42,Meta/42.png
38,Speed_limit(80km/h),5,Meta/5.png
39,End_of_speed_limit(80km/h),6,Meta/6.png
40,Speed_limit(100km/h),7,Meta/7.png
41,Speed_limit(120km/h),8,Meta/8.png
42,No_passing,9,Meta/9.png
